application_id,location_id,region,hiring_manager_id,role,source,commute_band_km,availability_match,applied_at,docs_submitted_at,background_clear_at,onboarding_started_at,scheduled_first_job_at,first_job_at,stage_reached,exit_reason,separation_at,tenure_days,separation_reason
APP-002782,LOC-11,Midwest,MGR-011,Car Courier,paid_social,0-5,limited,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001317,LOC-02,Midwest,MGR-002,Cargo Van Driver,app_store_organic,6-10,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-002585,LOC-19,Northeast,MGR-019,Car Courier,jobboard_a,0-5,partial,2025-09-01,2025-09-04,,,,,docs_submitted,background_check_queue,,,
APP-000662,LOC-36,West,MGR-036,Cargo Van Driver,paid_social,11-20,partial,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-001357,LOC-21,Northeast,MGR-021,Car Courier,app_store_organic,0-5,partial,2025-09-01,2025-09-01,,,,,docs_submitted,abandoned_signup,,,
APP-000812,LOC-05,Midwest,MGR-005,Bike Courier,paid_social,6-10,limited,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001708,LOC-36,West,MGR-036,Cargo Van Driver,jobboard_a,0-5,full,2025-09-01,2025-09-04,2025-09-16,2025-09-20,2025-09-24,2025-09-24,activated,,,,
APP-002485,LOC-35,West,MGR-035,Cargo Van Driver,jobboard_a,0-5,full,2025-09-01,2025-09-03,2025-09-08,2025-09-08,2025-09-17,,onboarding_started,no_show_first_job,,,
APP-000026,LOC-07,Midwest,MGR-007,Scooter Courier,worker_referral,0-5,full,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-001978,LOC-07,Midwest,MGR-007,Bike Courier,search_ads,11-20,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-002988,LOC-07,Midwest,MGR-007,Car Courier,app_store_organic,21-40,limited,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001987,LOC-41,West,MGR-041,Bike Courier,jobboard_a,40+,partial,2025-09-01,2025-09-03,2025-09-06,2025-09-06,2025-09-10,2025-09-10,activated,,,,
APP-001738,LOC-22,South,MGR-022,Car Courier,app_store_organic,0-5,partial,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-001989,LOC-13,Northeast,MGR-013,Car Courier,paid_social,6-10,full,2025-09-01,2025-09-01,,,,,docs_submitted,no_onboarding_slot,,,
APP-001995,LOC-01,Midwest,MGR-001,Car Courier,paid_social,11-20,full,2025-09-01,2025-09-01,2025-09-06,2025-09-09,2025-09-18,,onboarding_started,no_show_first_job,,,
APP-000316,LOC-19,Northeast,MGR-019,Bike Courier,worker_referral,11-20,full,2025-09-01,2025-09-04,,,,,docs_submitted,background_check_queue,,,
APP-002377,LOC-25,South,MGR-025,Bike Courier,worker_referral,40+,full,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-000307,LOC-25,South,MGR-025,Car Courier,app_store_organic,11-20,full,2025-09-01,2025-09-02,,,,,docs_submitted,background_check_queue,,,
APP-000290,LOC-37,West,MGR-037,Car Courier,jobboard_a,0-5,partial,2025-09-01,2025-09-03,2025-09-10,2025-09-13,2025-09-15,2025-09-15,activated,,,,
APP-002389,LOC-40,West,MGR-040,Bike Courier,worker_referral,21-40,full,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-002111,LOC-06,Midwest,MGR-006,Scooter Courier,jobboard_a,6-10,limited,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-002160,LOC-38,West,MGR-038,Scooter Courier,paid_social,0-5,partial,2025-09-01,2025-09-03,2025-09-07,2025-09-08,2025-09-21,,onboarding_started,no_show_first_job,,,
APP-002174,LOC-16,Northeast,MGR-016,Cargo Van Driver,jobboard_a,11-20,full,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-000221,LOC-20,Northeast,MGR-020,Bike Courier,jobboard_a,0-5,partial,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-002203,LOC-04,Midwest,MGR-004,Shopper,jobboard_a,6-10,full,2025-09-01,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-002338,LOC-39,West,MGR-039,Shopper,affiliate,6-10,partial,2025-09-01,2025-09-04,2025-09-08,2025-09-09,2025-09-19,2025-09-19,activated,,,,
APP-002216,LOC-36,West,MGR-036,Car Courier,search_ads,6-10,full,2025-09-01,2025-09-04,,,,,docs_submitted,background_check_queue,,,
APP-002245,LOC-05,Midwest,MGR-005,Car Courier,paid_social,6-10,full,2025-09-01,,,,,,signed_up,abandoned_signup,,,
APP-002941,LOC-33,South,MGR-033,Shopper,search_ads,11-20,full,2025-09-01,2025-09-04,2025-09-12,2025-09-14,2025-09-27,2025-09-27,activated,,,,
APP-000174,LOC-22,South,MGR-022,Car Courier,jobboard_a,0-5,full,2025-09-01,2025-09-01,2025-09-06,2025-09-06,2025-09-14,,onboarding_started,no_show_first_job,,,
APP-002313,LOC-14,Northeast,MGR-014,Cargo Van Driver,paid_social,6-10,partial,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-002140,LOC-34,West,MGR-034,Car Courier,paid_social,0-5,full,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-001969,LOC-16,Northeast,MGR-016,Bike Courier,search_ads,11-20,full,2025-09-01,2025-09-04,2025-09-08,,,,background_clear,abandoned_signup,,,
APP-000959,LOC-25,South,MGR-025,Car Courier,jobboard_a,40+,partial,2025-09-01,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-001755,LOC-42,West,MGR-042,Scooter Courier,jobboard_a,11-20,partial,2025-09-01,,,,,,signed_up,abandoned_signup,,,
APP-000387,LOC-11,Midwest,MGR-011,Shopper,app_store_organic,6-10,full,2025-09-01,,,,,,signed_up,abandoned_signup,,,
APP-000352,LOC-40,West,MGR-040,Car Courier,affiliate,40+,partial,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-001820,LOC-02,Midwest,MGR-002,Car Courier,paid_social,0-5,limited,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001841,LOC-32,South,MGR-032,Shopper,affiliate,11-20,partial,2025-09-01,2025-09-01,2025-09-02,,,,background_clear,failed_vehicle_check,,,
APP-001899,LOC-08,Midwest,MGR-008,Scooter Courier,jobboard_a,11-20,full,2025-09-01,2025-09-01,2025-09-05,2025-09-08,2025-09-20,2025-09-20,activated,,,,
APP-000386,LOC-25,South,MGR-025,Scooter Courier,worker_referral,21-40,limited,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-001852,LOC-30,South,MGR-030,Shopper,paid_social,21-40,limited,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-001958,LOC-26,South,MGR-026,Shopper,jobboard_a,6-10,full,2025-09-01,2025-09-04,2025-09-11,2025-09-15,2025-09-17,,onboarding_started,no_show_first_job,,,
APP-002432,LOC-26,South,MGR-026,Car Courier,affiliate,21-40,full,2025-09-01,2025-09-04,,,,,docs_submitted,unresponsive,,,
APP-001910,LOC-33,South,MGR-033,Cargo Van Driver,jobboard_a,0-5,limited,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-000351,LOC-40,West,MGR-040,Cargo Van Driver,paid_social,6-10,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001923,LOC-15,Northeast,MGR-015,Cargo Van Driver,app_store_organic,6-10,full,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001904,LOC-18,Northeast,MGR-018,Shopper,worker_referral,11-20,partial,2025-09-01,2025-09-02,2025-09-09,2025-09-13,2025-09-22,,onboarding_started,no_show_first_job,,,
APP-000219,LOC-11,Midwest,MGR-011,Shopper,affiliate,6-10,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-000449,LOC-26,South,MGR-026,Car Courier,affiliate,6-10,limited,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-000338,LOC-41,West,MGR-041,Scooter Courier,worker_referral,11-20,full,2025-09-02,2025-09-05,2025-09-06,,,,background_clear,abandoned_signup,,,
APP-000209,LOC-05,Midwest,MGR-005,Car Courier,app_store_organic,0-5,full,2025-09-02,2025-09-02,2025-09-05,2025-09-08,2025-09-21,2025-09-21,activated,,2025-10-01,10,found_other_job
APP-000432,LOC-30,South,MGR-030,Shopper,paid_social,6-10,partial,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-000942,LOC-07,Midwest,MGR-007,Scooter Courier,affiliate,6-10,partial,2025-09-02,2025-09-02,2025-09-16,2025-09-19,2025-09-22,2025-09-22,activated,,2025-10-21,29,voluntary_quit
APP-000193,LOC-03,Midwest,MGR-003,Shopper,search_ads,0-5,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-002862,LOC-22,South,MGR-022,Car Courier,jobboard_a,21-40,full,2025-09-02,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-000397,LOC-22,South,MGR-022,Bike Courier,affiliate,21-40,limited,2025-09-02,2025-09-04,,,,,docs_submitted,unresponsive,,,
APP-000858,LOC-38,West,MGR-038,Cargo Van Driver,app_store_organic,0-5,full,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-000454,LOC-14,Northeast,MGR-014,Bike Courier,app_store_organic,6-10,full,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-002751,LOC-31,South,MGR-031,Shopper,worker_referral,11-20,limited,2025-09-02,2025-09-04,,,,,docs_submitted,background_check_queue,,,
APP-000226,LOC-33,South,MGR-033,Car Courier,jobboard_a,6-10,full,2025-09-02,2025-09-04,2025-09-08,,,,background_clear,failed_background_check,,,
APP-000379,LOC-28,South,MGR-028,Bike Courier,paid_social,0-5,partial,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-000246,LOC-03,Midwest,MGR-003,Car Courier,worker_referral,0-5,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-000741,LOC-21,Northeast,MGR-021,Shopper,search_ads,6-10,limited,2025-09-02,2025-09-05,2025-09-12,2025-09-15,2025-09-18,2025-09-18,activated,,2025-09-20,2,voluntary_quit
APP-002774,LOC-04,Midwest,MGR-004,Cargo Van Driver,affiliate,6-10,full,2025-09-02,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-000370,LOC-13,Northeast,MGR-013,Car Courier,paid_social,40+,full,2025-09-02,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-000358,LOC-25,South,MGR-025,Car Courier,paid_social,40+,full,2025-09-02,2025-09-05,,,,,docs_submitted,abandoned_signup,,,
APP-000329,LOC-37,West,MGR-037,Cargo Van Driver,paid_social,11-20,full,2025-09-02,2025-09-02,2025-09-05,2025-09-08,2025-09-20,2025-09-20,activated,,2025-11-19,60,involuntary
APP-000489,LOC-16,Northeast,MGR-016,Car Courier,paid_social,11-20,limited,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-002795,LOC-11,Midwest,MGR-011,Scooter Courier,affiliate,0-5,partial,2025-09-02,2025-09-04,2025-09-07,2025-09-08,2025-09-14,2025-09-14,activated,,,,
APP-000597,LOC-20,Northeast,MGR-020,Cargo Van Driver,paid_social,11-20,partial,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-000491,LOC-20,Northeast,MGR-020,Bike Courier,search_ads,6-10,full,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-000540,LOC-40,West,MGR-040,Cargo Van Driver,affiliate,11-20,full,2025-09-02,2025-09-05,,,,,docs_submitted,background_check_queue,,,
APP-000333,LOC-03,Midwest,MGR-003,Shopper,affiliate,0-5,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-000811,LOC-30,South,MGR-030,Scooter Courier,affiliate,40+,partial,2025-09-02,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-000395,LOC-16,Northeast,MGR-016,Car Courier,affiliate,21-40,limited,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-002654,LOC-26,South,MGR-026,Car Courier,app_store_organic,0-5,partial,2025-09-02,,,,,,signed_up,abandoned_signup,,,
APP-001063,LOC-34,West,MGR-034,Car Courier,app_store_organic,21-40,limited,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-002460,LOC-02,Midwest,MGR-002,Car Courier,paid_social,21-40,limited,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-001710,LOC-28,South,MGR-028,Scooter Courier,search_ads,6-10,limited,2025-09-02,,,,,,signed_up,abandoned_signup,,,
APP-001735,LOC-09,Midwest,MGR-009,Cargo Van Driver,app_store_organic,21-40,full,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-001756,LOC-33,South,MGR-033,Cargo Van Driver,jobboard_a,11-20,full,2025-09-02,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-002435,LOC-37,West,MGR-037,Shopper,affiliate,6-10,full,2025-09-02,2025-09-05,,,,,docs_submitted,abandoned_signup,,,
APP-002426,LOC-11,Midwest,MGR-011,Car Courier,affiliate,11-20,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-001880,LOC-19,Northeast,MGR-019,Scooter Courier,app_store_organic,11-20,full,2025-09-02,,,,,,signed_up,abandoned_signup,,,
APP-001883,LOC-40,West,MGR-040,Car Courier,worker_referral,6-10,limited,2025-09-02,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-001886,LOC-14,Northeast,MGR-014,Shopper,search_ads,11-20,full,2025-09-02,2025-09-02,2025-09-12,2025-09-13,2025-09-22,2025-09-22,activated,,,,
APP-001921,LOC-33,South,MGR-033,Cargo Van Driver,search_ads,6-10,partial,2025-09-02,2025-09-04,2025-09-07,2025-09-08,2025-09-13,,onboarding_started,no_show_first_job,,,
APP-001944,LOC-03,Midwest,MGR-003,Car Courier,paid_social,6-10,full,2025-09-02,2025-09-02,,,,,docs_submitted,background_check_queue,,,
APP-001695,LOC-33,South,MGR-033,Cargo Van Driver,app_store_organic,6-10,full,2025-09-02,2025-09-03,2025-09-10,2025-09-12,2025-09-22,2025-09-22,activated,,,,
APP-001980,LOC-07,Midwest,MGR-007,Car Courier,worker_referral,6-10,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-002034,LOC-31,South,MGR-031,Car Courier,search_ads,0-5,full,2025-09-02,2025-09-04,2025-09-16,,,,background_clear,abandoned_signup,,,
APP-002070,LOC-16,Northeast,MGR-016,Bike Courier,affiliate,11-20,partial,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-002071,LOC-22,South,MGR-022,Bike Courier,search_ads,0-5,full,2025-09-02,2025-09-04,2025-09-08,,,,background_clear,abandoned_signup,,,
APP-002118,LOC-11,Midwest,MGR-011,Bike Courier,worker_referral,0-5,full,2025-09-02,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-002345,LOC-33,South,MGR-033,Cargo Van Driver,paid_social,0-5,full,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-002343,LOC-07,Midwest,MGR-007,Scooter Courier,app_store_organic,0-5,full,2025-09-02,2025-09-03,,,,,docs_submitted,background_check_queue,,,
APP-002181,LOC-19,Northeast,MGR-019,Car Courier,app_store_organic,21-40,full,2025-09-02,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-002334,LOC-14,Northeast,MGR-014,Car Courier,jobboard_a,11-20,partial,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-002269,LOC-38,West,MGR-038,Scooter Courier,paid_social,11-20,full,2025-09-02,,,,,,signed_up,abandoned_signup,,,
APP-002287,LOC-09,Midwest,MGR-009,Car Courier,worker_referral,11-20,full,2025-09-02,2025-09-05,2025-09-09,,,,background_clear,failed_vehicle_check,,,
APP-002318,LOC-15,Northeast,MGR-015,Scooter Courier,affiliate,11-20,partial,2025-09-02,2025-09-03,2025-09-06,,,,background_clear,failed_vehicle_check,,,
APP-002031,LOC-37,West,MGR-037,Bike Courier,app_store_organic,6-10,full,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-001660,LOC-28,South,MGR-028,Shopper,jobboard_a,6-10,full,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-001639,LOC-21,Northeast,MGR-021,Bike Courier,paid_social,0-5,partial,2025-09-02,2025-09-02,,,,,docs_submitted,no_onboarding_slot,,,
APP-001603,LOC-20,Northeast,MGR-020,Bike Courier,paid_social,11-20,full,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-001072,LOC-06,Midwest,MGR-006,Bike Courier,affiliate,11-20,full,2025-09-02,2025-09-02,2025-09-06,,,,background_clear,abandoned_signup,,,
APP-002670,LOC-16,Northeast,MGR-016,Car Courier,affiliate,40+,limited,2025-09-02,,,,,,signed_up,abandoned_signup,,,
APP-001101,LOC-40,West,MGR-040,Shopper,jobboard_a,6-10,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-002669,LOC-29,South,MGR-029,Shopper,affiliate,11-20,full,2025-09-02,2025-09-03,2025-09-09,,,,background_clear,never_completed_docs,,,
APP-002666,LOC-11,Midwest,MGR-011,Bike Courier,search_ads,11-20,full,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-001150,LOC-20,Northeast,MGR-020,Car Courier,affiliate,21-40,limited,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-001160,LOC-07,Midwest,MGR-007,Car Courier,affiliate,21-40,limited,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-001187,LOC-41,West,MGR-041,Scooter Courier,affiliate,0-5,full,2025-09-02,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-001241,LOC-15,Northeast,MGR-015,Bike Courier,app_store_organic,40+,partial,2025-09-02,2025-09-03,2025-09-11,2025-09-15,2025-09-23,,onboarding_started,no_show_first_job,,,
APP-001267,LOC-32,South,MGR-032,Car Courier,paid_social,0-5,partial,2025-09-02,2025-09-04,2025-09-10,2025-09-11,2025-09-21,,onboarding_started,no_show_first_job,,,
APP-001275,LOC-21,Northeast,MGR-021,Bike Courier,app_store_organic,6-10,partial,2025-09-02,2025-09-05,2025-09-13,2025-09-17,2025-09-20,2025-09-20,activated,,2025-12-14,85,found_other_job
APP-001296,LOC-16,Northeast,MGR-016,Shopper,paid_social,21-40,full,2025-09-02,2025-09-05,2025-09-12,,,,background_clear,failed_vehicle_check,,,
APP-001306,LOC-33,South,MGR-033,Cargo Van Driver,jobboard_a,21-40,partial,2025-09-02,2025-09-03,2025-09-07,2025-09-09,2025-09-20,2025-09-20,activated,,,,
APP-001309,LOC-02,Midwest,MGR-002,Bike Courier,app_store_organic,6-10,partial,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-001349,LOC-39,West,MGR-039,Scooter Courier,paid_social,21-40,full,2025-09-02,,,,,,signed_up,failed_knockout,,,
APP-000186,LOC-17,Northeast,MGR-017,Shopper,affiliate,6-10,full,2025-09-02,2025-09-04,2025-09-07,,,,background_clear,failed_vehicle_check,,,
APP-001400,LOC-19,Northeast,MGR-019,Bike Courier,search_ads,21-40,partial,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-001412,LOC-18,Northeast,MGR-018,Car Courier,affiliate,0-5,partial,2025-09-02,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-001436,LOC-26,South,MGR-026,Car Courier,jobboard_a,40+,limited,2025-09-02,2025-09-02,,,,,docs_submitted,abandoned_signup,,,
APP-001454,LOC-11,Midwest,MGR-011,Car Courier,paid_social,0-5,full,2025-09-02,,,,,,signed_up,docs_rejected,,,
APP-001467,LOC-22,South,MGR-022,Scooter Courier,app_store_organic,11-20,full,2025-09-02,2025-09-03,2025-09-08,,,,background_clear,failed_vehicle_check,,,
APP-002549,LOC-13,Northeast,MGR-013,Shopper,app_store_organic,0-5,full,2025-09-02,,,,,,signed_up,incomplete_application,,,
APP-001537,LOC-14,Northeast,MGR-014,Car Courier,search_ads,6-10,partial,2025-09-02,2025-09-04,2025-09-15,2025-09-18,2025-09-28,,onboarding_started,no_show_first_job,,,
APP-001584,LOC-04,Midwest,MGR-004,Car Courier,affiliate,21-40,full,2025-09-02,2025-09-05,2025-09-12,2025-09-15,2025-09-26,,onboarding_started,no_show_first_job,,,
APP-001598,LOC-40,West,MGR-040,Shopper,search_ads,21-40,partial,2025-09-02,2025-09-04,2025-09-17,,,,background_clear,failed_vehicle_check,,,
APP-000987,LOC-13,Northeast,MGR-013,Car Courier,paid_social,40+,full,2025-09-02,2025-09-02,2025-09-07,,,,background_clear,failed_background_check,,,
APP-001376,LOC-30,South,MGR-030,Car Courier,paid_social,21-40,partial,2025-09-02,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-002310,LOC-05,Midwest,MGR-005,Car Courier,paid_social,11-20,full,2025-09-02,2025-09-03,2025-09-07,2025-09-08,2025-09-19,2025-09-19,activated,,,,
APP-002986,LOC-42,West,MGR-042,Bike Courier,jobboard_a,11-20,full,2025-09-02,,,,,,signed_up,incomplete_application,,,
