application_id,location_id,region,hiring_manager_id,role,source,commute_band_km,availability_match,applied_at,screened_at,interview_scheduled_at,interview_completed_at,offer_at,onboarding_started_at,scheduled_first_shift_at,first_shift_at,stage_reached,exit_reason,separation_at,tenure_days,separation_reason
APP-000330,LOC-38,West,MGR-038,Delivery Driver,jobboard_a,6-10,limited,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000689,LOC-05,Midwest,MGR-005,Dispatcher,jobboard_c,0-5,full,2025-09-02,2025-09-02,,,,,,,screened,unresponsive,,,
APP-000805,LOC-26,South,MGR-026,Package Handler,jobboard_c,21-40,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-000673,LOC-36,West,MGR-036,Warehouse Associate,career_site,40+,partial,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000255,LOC-24,South,MGR-024,Package Handler,jobboard_b,6-10,partial,2025-09-02,,,,,,,,applied,failed_knockout,,,
APP-000251,LOC-27,South,MGR-027,Dispatcher,jobboard_a,11-20,full,2025-09-02,2025-09-04,2025-09-04,2025-09-07,2025-09-09,2025-09-10,2025-09-15,2025-09-15,started,,2025-10-04,19,schedule_conflict
APP-001226,LOC-36,West,MGR-036,Package Handler,jobboard_c,6-10,partial,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000837,LOC-06,Midwest,MGR-006,Warehouse Associate,jobboard_b,0-5,full,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000848,LOC-31,South,MGR-031,Warehouse Associate,jobboard_b,6-10,full,2025-09-02,2025-09-04,2025-09-10,2025-09-16,2025-09-19,2025-09-19,2025-10-06,2025-10-06,started,,,,
APP-001219,LOC-30,South,MGR-030,Warehouse Associate,jobboard_a,6-10,full,2025-09-02,2025-09-05,2025-09-08,2025-09-14,2025-09-17,,,,offer_extended,unresponsive_after_offer,,,
APP-001243,LOC-11,Midwest,MGR-011,Warehouse Associate,referral,6-10,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-000630,LOC-28,South,MGR-028,Package Handler,jobboard_c,0-5,limited,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000722,LOC-13,Northeast,MGR-013,Package Handler,career_site,6-10,partial,2025-09-02,2025-09-05,,,,,,,screened,withdrew,,,
APP-000597,LOC-28,South,MGR-028,Warehouse Associate,referral,11-20,limited,2025-09-02,2025-09-04,,,,,,,screened,unresponsive,,,
APP-000385,LOC-37,West,MGR-037,Warehouse Associate,career_site,21-40,full,2025-09-02,2025-09-04,2025-09-04,2025-09-09,,,,,interview_completed,candidate_declined,,,
APP-000167,LOC-39,West,MGR-039,Warehouse Associate,jobboard_c,0-5,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-001073,LOC-09,Midwest,MGR-009,Delivery Driver,staffing_agency,6-10,full,2025-09-02,2025-09-04,,,,,,,screened,recruiter_no_action,,,
APP-000835,LOC-39,West,MGR-039,Package Handler,jobboard_a,6-10,full,2025-09-02,2025-09-05,,,,,,,screened,recruiter_no_action,,,
APP-000047,LOC-25,South,MGR-025,Package Handler,jobboard_a,0-5,limited,2025-09-02,2025-09-05,,,,,,,screened,no_interview_slot,,,
APP-000056,LOC-05,Midwest,MGR-005,Dispatcher,staffing_agency,21-40,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-001092,LOC-03,Midwest,MGR-003,Team Lead,career_site,0-5,partial,2025-09-02,2025-09-04,2025-09-15,,,,,,interview_scheduled,interview_no_show,,,
APP-001301,LOC-32,South,MGR-032,Dispatcher,jobboard_a,40+,partial,2025-09-02,2025-09-03,2025-09-04,2025-09-07,,,,,interview_completed,not_qualified,,,
APP-001132,LOC-37,West,MGR-037,Package Handler,jobboard_c,0-5,full,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-001105,LOC-10,Midwest,MGR-010,Delivery Driver,jobboard_c,0-5,limited,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000253,LOC-09,Midwest,MGR-009,Delivery Driver,referral,11-20,partial,2025-09-03,2025-09-03,2025-09-06,2025-09-10,2025-09-12,2025-09-14,2025-09-24,2025-09-24,started,,,,
APP-000428,LOC-04,Midwest,MGR-004,Team Lead,jobboard_c,21-40,partial,2025-09-03,2025-09-06,2025-09-06,,,,,,interview_scheduled,interview_no_show,,,
APP-000518,LOC-08,Midwest,MGR-008,Warehouse Associate,jobboard_a,6-10,full,2025-09-03,,,,,,,,applied,withdrew,,,
APP-000420,LOC-39,West,MGR-039,Team Lead,staffing_agency,21-40,limited,2025-09-03,2025-09-06,2025-09-06,,,,,,interview_scheduled,interview_no_show,,,
APP-000246,LOC-40,West,MGR-040,Delivery Driver,jobboard_c,0-5,partial,2025-09-03,2025-09-06,,,,,,,screened,no_interview_slot,,,
APP-001170,LOC-41,West,MGR-041,Package Handler,referral,0-5,full,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000006,LOC-34,West,MGR-034,Warehouse Associate,jobboard_a,0-5,full,2025-09-03,2025-09-04,2025-09-06,2025-09-11,2025-09-14,2025-09-14,2025-09-19,2025-09-19,started,,,,
APP-000401,LOC-34,West,MGR-034,Warehouse Associate,career_site,0-5,partial,2025-09-03,,,,,,,,applied,withdrew,,,
APP-001211,LOC-27,South,MGR-027,Delivery Driver,referral,0-5,partial,2025-09-03,2025-09-05,2025-09-07,2025-09-13,2025-09-15,2025-09-16,2025-09-19,2025-09-19,started,,,,
APP-000178,LOC-04,Midwest,MGR-004,Delivery Driver,staffing_agency,21-40,limited,2025-09-03,,,,,,,,applied,availability_mismatch,,,
APP-001225,LOC-15,Northeast,MGR-015,Warehouse Associate,staffing_agency,21-40,partial,2025-09-03,2025-09-05,2025-09-08,2025-09-09,,,,,interview_completed,not_qualified,,,
APP-000066,LOC-11,Midwest,MGR-011,Package Handler,career_site,6-10,full,2025-09-03,2025-09-05,2025-09-08,2025-09-10,2025-09-11,2025-09-11,2025-09-25,,onboarding_started,no_show_first_shift,,,
APP-000145,LOC-35,West,MGR-035,Warehouse Associate,jobboard_b,6-10,full,2025-09-03,2025-09-03,2025-09-05,2025-09-07,2025-09-09,2025-09-11,2025-09-26,2025-09-26,started,,,,
APP-000345,LOC-10,Midwest,MGR-010,Delivery Driver,jobboard_a,21-40,full,2025-09-03,2025-09-03,2025-09-05,2025-09-08,2025-09-10,2025-09-12,2025-09-19,2025-09-19,started,,,,
APP-000841,LOC-40,West,MGR-040,Delivery Driver,jobboard_b,11-20,full,2025-09-03,,,,,,,,applied,failed_knockout,,,
APP-000662,LOC-38,West,MGR-038,Warehouse Associate,jobboard_a,6-10,partial,2025-09-03,2025-09-05,,,,,,,screened,withdrew,,,
APP-000459,LOC-25,South,MGR-025,Dispatcher,referral,11-20,full,2025-09-03,2025-09-05,,,,,,,screened,no_interview_slot,,,
APP-000853,LOC-34,West,MGR-034,Delivery Driver,jobboard_c,21-40,partial,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000351,LOC-37,West,MGR-037,Package Handler,referral,6-10,full,2025-09-03,2025-09-05,2025-09-07,2025-09-10,2025-09-10,2025-09-10,2025-09-21,2025-09-21,started,,,,
APP-000488,LOC-07,Midwest,MGR-007,Warehouse Associate,jobboard_a,21-40,full,2025-09-03,,,,,,,,applied,withdrew,,,
APP-000219,LOC-22,South,MGR-022,Package Handler,jobboard_a,11-20,partial,2025-09-03,2025-09-03,2025-09-05,2025-09-07,2025-09-10,2025-09-11,2025-09-19,,onboarding_started,no_show_first_shift,,,
APP-000109,LOC-29,South,MGR-029,Delivery Driver,jobboard_c,40+,full,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000398,LOC-03,Midwest,MGR-003,Delivery Driver,jobboard_a,40+,full,2025-09-03,,,,,,,,applied,withdrew,,,
APP-001137,LOC-22,South,MGR-022,Package Handler,referral,11-20,limited,2025-09-03,2025-09-03,2025-09-03,2025-09-05,2025-09-05,2025-09-06,2025-09-14,2025-09-14,started,,,,
APP-000965,LOC-01,Midwest,MGR-001,Package Handler,career_site,11-20,full,2025-09-03,2025-09-05,2025-09-08,2025-09-14,2025-09-16,2025-09-17,2025-09-25,,onboarding_started,no_show_first_shift,,,
APP-001175,LOC-32,South,MGR-032,Dispatcher,jobboard_a,0-5,full,2025-09-03,2025-09-06,2025-09-09,,,,,,interview_scheduled,interview_no_show,,,
APP-000608,LOC-07,Midwest,MGR-007,Package Handler,staffing_agency,21-40,full,2025-09-03,2025-09-03,,,,,,,screened,no_interview_slot,,,
APP-000315,LOC-18,Northeast,MGR-018,Warehouse Associate,jobboard_c,21-40,partial,2025-09-03,2025-09-06,2025-09-07,,,,,,interview_scheduled,interview_no_show,,,
APP-001060,LOC-18,Northeast,MGR-018,Delivery Driver,referral,6-10,partial,2025-09-03,2025-09-06,2025-09-08,2025-09-11,2025-09-12,2025-09-12,2025-09-22,2025-09-22,started,,,,
APP-001124,LOC-01,Midwest,MGR-001,Package Handler,jobboard_b,40+,full,2025-09-03,,,,,,,,applied,availability_mismatch,,,
APP-000283,LOC-33,South,MGR-033,Package Handler,jobboard_a,0-5,partial,2025-09-03,,,,,,,,applied,failed_knockout,,,
APP-001159,LOC-31,South,MGR-031,Team Lead,jobboard_c,21-40,partial,2025-09-03,,,,,,,,applied,availability_mismatch,,,
APP-000529,LOC-02,Midwest,MGR-002,Warehouse Associate,jobboard_c,0-5,full,2025-09-03,2025-09-04,2025-09-06,2025-09-11,2025-09-12,2025-09-13,2025-09-27,2025-09-27,started,,2025-10-05,8,schedule_conflict
APP-000092,LOC-26,South,MGR-026,Package Handler,jobboard_c,0-5,limited,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000866,LOC-12,Northeast,MGR-012,Delivery Driver,career_site,6-10,partial,2025-09-03,,,,,,,,applied,failed_knockout,,,
APP-001202,LOC-34,West,MGR-034,Package Handler,jobboard_b,21-40,limited,2025-09-03,2025-09-03,2025-09-06,,,,,,interview_scheduled,interview_no_show,,,
APP-000220,LOC-26,South,MGR-026,Delivery Driver,jobboard_c,11-20,full,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000408,LOC-42,West,MGR-042,Package Handler,career_site,11-20,limited,2025-09-03,2025-09-06,,,,,,,screened,withdrew,,,
APP-001091,LOC-33,South,MGR-033,Delivery Driver,jobboard_b,11-20,full,2025-09-03,,,,,,,,applied,failed_knockout,,,
APP-000794,LOC-30,South,MGR-030,Team Lead,staffing_agency,0-5,full,2025-09-03,2025-09-03,2025-09-04,,,,,,interview_scheduled,interview_no_show,,,
APP-000504,LOC-17,Northeast,MGR-017,Delivery Driver,career_site,11-20,full,2025-09-04,2025-09-04,2025-09-05,2025-09-06,2025-09-07,,,,offer_extended,unresponsive_after_offer,,,
APP-000209,LOC-28,South,MGR-028,Package Handler,referral,0-5,full,2025-09-04,,,,,,,,applied,failed_knockout,,,
APP-000933,LOC-28,South,MGR-028,Warehouse Associate,jobboard_a,11-20,partial,2025-09-04,2025-09-06,2025-09-08,2025-09-10,2025-09-11,2025-09-11,2025-09-26,,onboarding_started,no_show_first_shift,,,
APP-000015,LOC-15,Northeast,MGR-015,Warehouse Associate,career_site,0-5,partial,2025-09-04,2025-09-06,2025-09-08,2025-09-10,2025-09-10,2025-09-11,2025-09-15,2025-09-15,started,,,,
APP-000193,LOC-20,Northeast,MGR-020,Package Handler,jobboard_c,0-5,full,2025-09-04,2025-09-06,,,,,,,screened,withdrew,,,
APP-000890,LOC-19,Northeast,MGR-019,Delivery Driver,jobboard_c,40+,full,2025-09-04,,,,,,,,applied,incomplete_application,,,
APP-000362,LOC-12,Northeast,MGR-012,Package Handler,jobboard_a,11-20,full,2025-09-04,2025-09-04,2025-09-07,2025-09-08,,,,,interview_completed,candidate_declined,,,
APP-001117,LOC-25,South,MGR-025,Delivery Driver,career_site,21-40,limited,2025-09-04,2025-09-05,,,,,,,screened,no_interview_slot,,,
APP-001285,LOC-01,Midwest,MGR-001,Warehouse Associate,jobboard_b,21-40,full,2025-09-04,2025-09-06,2025-09-06,,,,,,interview_scheduled,interview_no_show,,,
APP-000204,LOC-37,West,MGR-037,Dispatcher,career_site,21-40,limited,2025-09-04,2025-09-05,2025-09-06,,,,,,interview_scheduled,interview_no_show,,,
APP-000151,LOC-17,Northeast,MGR-017,Delivery Driver,jobboard_c,0-5,full,2025-09-04,2025-09-07,,,,,,,screened,unresponsive,,,
APP-000588,LOC-37,West,MGR-037,Warehouse Associate,career_site,11-20,full,2025-09-04,2025-09-05,,,,,,,screened,recruiter_no_action,,,
APP-001174,LOC-42,West,MGR-042,Package Handler,jobboard_a,40+,full,2025-09-04,2025-09-06,2025-09-09,2025-09-14,2025-09-14,2025-09-16,2025-09-27,,onboarding_started,no_show_first_shift,,,
APP-000162,LOC-24,South,MGR-024,Package Handler,jobboard_c,0-5,partial,2025-09-04,2025-09-07,,,,,,,screened,unresponsive,,,
APP-000590,LOC-18,Northeast,MGR-018,Warehouse Associate,jobboard_c,6-10,full,2025-09-04,,,,,,,,applied,failed_knockout,,,
APP-000538,LOC-31,South,MGR-031,Warehouse Associate,referral,40+,limited,2025-09-04,2025-09-05,2025-09-17,2025-09-21,2025-09-24,2025-09-24,2025-10-05,,onboarding_started,no_show_first_shift,,,
APP-000545,LOC-37,West,MGR-037,Package Handler,career_site,6-10,full,2025-09-04,2025-09-05,,,,,,,screened,withdrew,,,
APP-000485,LOC-07,Midwest,MGR-007,Dispatcher,referral,0-5,full,2025-09-04,2025-09-07,2025-09-14,2025-09-20,2025-09-23,2025-09-24,2025-10-03,,onboarding_started,no_show_first_shift,,,
APP-000079,LOC-26,South,MGR-026,Warehouse Associate,career_site,21-40,partial,2025-09-04,2025-09-05,2025-09-07,2025-09-13,2025-09-16,2025-09-16,2025-10-03,,onboarding_started,no_show_first_shift,,,
APP-000723,LOC-07,Midwest,MGR-007,Dispatcher,career_site,40+,full,2025-09-04,,,,,,,,applied,withdrew,,,
APP-000749,LOC-01,Midwest,MGR-001,Warehouse Associate,jobboard_b,11-20,limited,2025-09-04,,,,,,,,applied,availability_mismatch,,,
APP-000287,LOC-16,Northeast,MGR-016,Package Handler,jobboard_b,11-20,limited,2025-09-04,2025-09-04,,,,,,,screened,withdrew,,,
APP-000783,LOC-31,South,MGR-031,Delivery Driver,referral,0-5,full,2025-09-04,2025-09-04,,,,,,,screened,no_interview_slot,,,
APP-000784,LOC-21,Northeast,MGR-021,Package Handler,jobboard_c,6-10,partial,2025-09-04,,,,,,,,applied,withdrew,,,
APP-001051,LOC-30,South,MGR-030,Package Handler,referral,6-10,full,2025-09-04,2025-09-04,2025-09-06,2025-09-11,2025-09-12,2025-09-13,2025-09-25,2025-09-25,started,,2025-11-24,60,voluntary_quit
APP-000139,LOC-03,Midwest,MGR-003,Warehouse Associate,career_site,11-20,partial,2025-09-04,,,,,,,,applied,availability_mismatch,,,
APP-000434,LOC-31,South,MGR-031,Package Handler,jobboard_c,11-20,limited,2025-09-04,2025-09-06,,,,,,,screened,no_interview_slot,,,
APP-000002,LOC-24,South,MGR-024,Package Handler,jobboard_a,11-20,full,2025-09-04,,,,,,,,applied,failed_knockout,,,
APP-001163,LOC-18,Northeast,MGR-018,Team Lead,referral,0-5,partial,2025-09-04,2025-09-05,2025-09-08,2025-09-13,2025-09-14,2025-09-14,2025-09-17,2025-09-17,started,,,,
APP-000407,LOC-05,Midwest,MGR-005,Dispatcher,staffing_agency,0-5,full,2025-09-04,2025-09-04,2025-09-05,2025-09-06,2025-09-08,2025-09-10,2025-09-18,,onboarding_started,no_show_first_shift,,,
APP-000569,LOC-07,Midwest,MGR-007,Warehouse Associate,jobboard_a,0-5,full,2025-09-04,,,,,,,,applied,failed_knockout,,,
APP-000116,LOC-31,South,MGR-031,Team Lead,referral,11-20,full,2025-09-04,2025-09-05,2025-09-11,2025-09-13,2025-09-15,2025-09-15,2025-10-01,2025-10-01,started,,,,
APP-000829,LOC-40,West,MGR-040,Warehouse Associate,jobboard_a,6-10,full,2025-09-04,,,,,,,,applied,availability_mismatch,,,
APP-000236,LOC-07,Midwest,MGR-007,Warehouse Associate,jobboard_a,0-5,partial,2025-09-04,,,,,,,,applied,availability_mismatch,,,
APP-000063,LOC-12,Northeast,MGR-012,Delivery Driver,jobboard_c,6-10,full,2025-09-04,,,,,,,,applied,failed_knockout,,,
APP-000539,LOC-24,South,MGR-024,Team Lead,referral,40+,limited,2025-09-04,2025-09-06,2025-09-07,2025-09-11,2025-09-12,2025-09-13,2025-09-16,2025-09-16,started,,,,
APP-000932,LOC-15,Northeast,MGR-015,Warehouse Associate,jobboard_b,0-5,partial,2025-09-04,2025-09-07,2025-09-10,2025-09-11,2025-09-11,,,,offer_extended,failed_background_check,,,
APP-000224,LOC-03,Midwest,MGR-003,Delivery Driver,staffing_agency,6-10,limited,2025-09-05,,,,,,,,applied,availability_mismatch,,,
APP-000738,LOC-27,South,MGR-027,Delivery Driver,jobboard_a,0-5,full,2025-09-05,2025-09-05,2025-09-05,2025-09-07,2025-09-08,2025-09-09,2025-09-15,2025-09-15,started,,,,
APP-001258,LOC-13,Northeast,MGR-013,Package Handler,jobboard_c,6-10,limited,2025-09-05,2025-09-06,2025-09-09,2025-09-10,2025-09-10,2025-09-11,2025-09-17,2025-09-17,started,,,,
APP-001184,LOC-34,West,MGR-034,Warehouse Associate,jobboard_a,6-10,full,2025-09-05,2025-09-07,2025-09-08,,,,,,interview_scheduled,interview_no_show,,,
APP-000745,LOC-25,South,MGR-025,Delivery Driver,jobboard_b,21-40,limited,2025-09-05,2025-09-08,2025-09-13,2025-09-17,,,,,interview_completed,not_qualified,,,
APP-000735,LOC-34,West,MGR-034,Team Lead,staffing_agency,0-5,limited,2025-09-05,2025-09-06,,,,,,,screened,unresponsive,,,
APP-000860,LOC-39,West,MGR-039,Delivery Driver,referral,6-10,limited,2025-09-05,2025-09-07,2025-09-07,2025-09-13,2025-09-14,2025-09-15,2025-09-18,2025-09-18,started,,,,
